id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
936374,Perfect Bluesfest Home,5043406,Eric & Angela,,BYRON SHIRE COUNCIL,-28.50539,153.53302,Entire home/apt,349,2,11,2019-04-22,0.15,1,361
936518,Romantic Forest Hideaway Byron Bay Hinterland,5055478,Marie,,BYRON SHIRE COUNCIL,-28.6313,153.42087,Entire home/apt,219,3,47,2019-05-06,0.68,3,160
944331,White Cedar Apartment,5111964,Stuart,,BYRON SHIRE COUNCIL,-28.6859,153.51771,Entire home/apt,144,2,113,2019-05-10,1.76,1,274
945947,Forest Cabin Byron Bay Hinterland,5055478,Marie,,BYRON SHIRE COUNCIL,-28.62855,153.42246,Entire home/apt,150,3,157,2019-04-28,2.09,3,358
949895,Beautiful Beachside Suffolk Park,5152225,Kate,,BYRON SHIRE COUNCIL,-28.68893,153.61103,Entire home/apt,332,4,7,2019-04-22,0.13,1,194
952072,Cute little beach studio. New Brighton 2483,5167434,Janelle,,BYRON SHIRE COUNCIL,-28.51602,153.54947,Private room,191,2,7,2016-03-29,0.11,1,353
969341,TORAJA LUXURY - Byron Bay Australia,5293297,Sarah,,BALLINA SHIRE COUNCIL,-28.74064,153.54131,Entire home/apt,599,3,2,2018-09-01,0.19,3,334
969690,Eagles Nest at Byron Bay Hills,5296438,Oren,,BYRON SHIRE COUNCIL,-28.57076,153.44152,Entire home/apt,550,6,5,2017-10-21,0.07,1,361
992870,Calurla at Nimbin 1 bedroom cottage,4508972,Robert,,KYOGLE COUNCIL,-28.53343,153.1656,Entire home/apt,144,2,1,2016-10-02,0.03,3,0
992938,Calurla at Nimbin 2 bedroom cottage,4508972,Robert,,KYOGLE COUNCIL,-28.53385,153.16766,Entire home/apt,130,2,8,2019-04-22,0.27,3,20
999220,BIRDHOUSE Beachfront ByronBay,3495465,Ben & Joc,,BYRON SHIRE COUNCIL,-28.65552,153.62338,Entire home/apt,800,3,2,2016-09-30,0.04,3,305
999432,BIRDCAGE BEACHFRONT BYRON BAY,3495465,Ben & Joc,,BYRON SHIRE COUNCIL,-28.6565,153.62461,Entire home/apt,360,3,40,2017-05-06,0.56,3,295
1012472,'Iri',5568197,Wayne,,BYRON SHIRE COUNCIL,-28.67675,153.59513,Private room,95,1,10,2017-09-29,0.13,1,0
1014619,Balyarta Sunny Palm Room,5581752,Balyarta,,BYRON SHIRE COUNCIL,-28.68338,153.60914,Private room,59,1,49,2019-05-01,1.18,5,365
1022290,Cosy room in Ballina,180748,Bryce And Janine,,BALLINA SHIRE COUNCIL,-28.86229,153.55853,Private room,62,2,45,2017-02-12,0.61,5,0
1022395,Guest room Ballina free transport to Byron Bay,180748,Bryce And Janine,,BALLINA SHIRE COUNCIL,-28.86112,153.55724,Private room,61,1,118,2019-05-26,1.57,5,203
1028243,Magic view with style art & comfort,2151170,Kim,,BYRON SHIRE COUNCIL,-28.5264,153.53982,Entire home/apt,451,5,12,2018-07-23,0.17,2,84
1037008,Charming Rural Australian Church,4800366,Andrea,,TWEED SHIRE COUNCIL,-28.39593,153.40447,Entire home/apt,120,2,73,2019-05-06,1.00,1,327
1047051,Kingsley Cottage in Town,2139292,Luke,,BYRON SHIRE COUNCIL,-28.6479,153.61518,Entire home/apt,140,3,194,2019-04-30,2.62,1,0
1057015,Byron Bay Hinterland Hideaway!,2566441,Guy,,BYRON SHIRE COUNCIL,-28.50283,153.43825,Entire home/apt,400,2,141,2019-05-05,1.90,3,306
1077286,A PERFECT STAY - Aloha Ohana,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.68571,153.59251,Entire home/apt,264,3,8,2019-05-04,0.34,114,238
1093269,Byron Bay beach U3 sleeps 5,6006523,William,,BYRON SHIRE COUNCIL,-28.64219,153.61443,Entire home/apt,199,3,130,2019-05-26,2.54,1,307
1095339,"Flying Dog Cottage-quiet street, walk to town",6018214,Sue,,BYRON SHIRE COUNCIL,-28.54878,153.50412,Entire home/apt,181,2,40,2019-02-14,0.56,1,235
